cache_rate,draft_len,samples,rounds,drafted_tokens,prefix_accepted_tokens,position_matched_tokens,prefix_acceptance_rate,position_match_rate,full_round_acceptance_rate,avg_prefix_accepted_per_round,generated_tokens,cache_hit_rate,elapsed_sec
0.5,1,1,2,2,2,2,1.0,1.0,1.0,1.0,2,0.8854166666666666,5.404569864273071
0.5,2,1,1,2,2,2,1.0,1.0,1.0,2.0,2,0.8854166666666666,3.0830109119415283
